0.0,1.0
0.01,0.96
0.02,0.9199999999999999
0.03,0.8799999999999999
0.04,0.8400000000000001
0.05,0.8
0.06,0.76
0.07,0.72
0.08,0.6799999999999999
0.09,0.6400000000000001
0.1,0.6000000000000001
0.11,0.56
0.12,0.52
0.13,0.48
0.14,0.43999999999999995
0.15,0.3999999999999999
0.16,0.3599999999999999
0.17,0.31999999999999984
0.18,0.28
0.19,0.24
0.2,0.19999999999999996
0.21,0.16000000000000014
0.22,0.1200000000000001
0.23,0.08000000000000007
0.24,0.040000000000000036
0.25,0.0
0.26,-0.040000000000000036
0.27,-0.08000000000000007
0.28,-0.1200000000000001
0.29,-0.15999999999999992
0.3,-0.19999999999999996
0.31,-0.24
0.32,-0.28
0.33,-0.32000000000000006
0.34,-0.3600000000000001
0.35000000000000003,-0.40000000000000013
0.36,-0.43999999999999995
0.37,-0.48
0.38,-0.52
0.39,-0.56
0.4,-0.6000000000000001
0.41000000000000003,-0.6400000000000001
0.42,-0.6799999999999999
0.43,-0.72
0.44,-0.76
0.45,-0.8
0.46,-0.8400000000000001
0.47000000000000003,-0.8800000000000001
0.48,-0.9199999999999999
0.49,-0.96
0.5,-1.0
0.51,-0.96
0.52,-0.9199999999999999
0.53,-0.8799999999999999
0.54,-0.8399999999999999
0.55,-0.7999999999999998
0.56,-0.7599999999999998
0.5700000000000001,-0.7199999999999998
0.58,-0.6800000000000002
0.59,-0.6400000000000001
0.6,-0.6000000000000001
0.61,-0.56
0.62,-0.52
0.63,-0.48
0.64,-0.43999999999999995
0.65,-0.3999999999999999
0.66,-0.3599999999999999
0.67,-0.31999999999999984
0.68,-0.2799999999999998
0.6900000000000001,-0.23999999999999977
0.7000000000000001,-0.19999999999999973
0.71,-0.16000000000000014
0.72,-0.1200000000000001
0.73,-0.08000000000000007
0.74,-0.040000000000000036
0.75,0.0
0.76,0.040000000000000036
0.77,0.08000000000000007
0.78,0.1200000000000001
0.79,0.16000000000000014
0.8,0.20000000000000018
0.81,0.2400000000000002
0.8200000000000001,0.28000000000000025
0.8300000000000001,0.3200000000000003
0.84,0.3599999999999999
0.85,0.3999999999999999
0.86,0.43999999999999995
0.87,0.48
0.88,0.52
0.89,0.56
0.9,0.6000000000000001
0.91,0.6400000000000001
0.92,0.6800000000000002
0.93,0.7200000000000002
0.9400000000000001,0.7600000000000002
0.9500000000000001,0.8000000000000003
0.96,0.8399999999999999
0.97,0.8799999999999999
0.98,0.9199999999999999
0.99,0.96
